"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"190","Al Horford","Bos","C-F","36.8","53","31","11.8","7.1","19","0.737","140","0.536","265","0.457","0.633","0.637","9.9","6.3","2.8","0.5","0.9","0.6","16.2","12.7","19","7.2","133.6","108.8"
"191","Josh Richardson","Nor","G","29.5","9","26.6","15.8","10","19","0.789","31","0.516","41","0.341","0.514","0.554","9.9","2.6","2","2.6","0.8","0.9","12.4","11.9","14.4","5.6","112.9","102.3"
"192","Corey Kispert","Was","F","24","60","27.4","12.9","9.4","63","0.873","139","0.64","275","0.425","0.639","0.661","9.7","2.7","1.2","0.5","0.1","0.7","12.5","10.9","13.6","4.6","124.9","115.8"
"193","Jalen Suggs","Orl","G","21.8","43","23.8","20.1","18.3","95","0.716","199","0.503","158","0.316","0.49","0.524","9.7","3","3.3","1.3","0.5","1.9","12.7","13","16","7.7","104.6","106.6"
"194","Aaron Nesmith","Ind","G-F","23.4","59","24.5","16.5","10.5","109","0.853","219","0.493","247","0.344","0.505","0.549","9.6","3.7","1.2","0.7","0.4","0.9","13.3","10.8","14.5","5.7","109.3","107.1"
"195","Chris Boucher","Tor","F-C","30.2","62","20.1","18.1","6.9","147","0.741","274","0.591","159","0.333","0.558","0.595","9.5","5.7","0.4","0.7","0.8","0.5","15.2","10","15.6","5.5","126.7","107"
"196","Josh Hart","Por","G","28","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122.2","110.7"
"197","Killian Hayes","Det","G","21.6","62","26.9","20","16.9","69","0.783","397","0.413","233","0.292","0.422","0.444","9.5","2.8","6","1.4","0.4","2.1","12.2","15.4","18.2","8.1","97.7","110.1"
"198","Herbert Jones","Nor","F","24.4","52","29","14.8","14.4","127","0.748","265","0.532","132","0.295","0.503","0.545","9.5","4","2.4","1.6","0.7","1.3","13.5","11.9","15.9","6.2","111.8","104.1"
"199","Naji Marshall","Nor","F","25.1","63","24.9","17.3","14.5","146","0.788","293","0.512","195","0.313","0.495","0.541","9.5","3.8","2.6","0.7","0.2","1.3","13.3","12","15.9","7.3","108.8","110.5"
"200","Landry Shamet","Pho","G","26","30","21.4","19.4","10.6","45","0.911","80","0.388","163","0.374","0.504","0.544","9.5","1.7","2.2","0.6","0.2","1","11.2","11.8","13.5","6.1","111.5","111.6"
"201","T.J. Warren","Bro","F","29.5","26","18.9","21","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.4","109.2"
"202","Precious Achiuwa","Tor","F","23.5","44","22","19","13.3","110","0.691","250","0.548","82","0.256","0.508","0.543","9.4","6.1","1","0.6","0.6","1.2","15.5","10.3","16.5","7","110.1","107.1"
"203","Santi Aldama","Mem","F-C","22.2","63","22.1","16","9.4","114","0.719","213","0.601","231","0.359","0.569","0.594","9.3","4.6","1.2","0.6","0.7","0.7","13.9","10.5","15.1","6.7","120.3","104.6"
"204","Bol Bol","Orl","C-F","23.3","63","22","17.8","19.1","94","0.745","336","0.643","95","0.305","0.602","0.623","9.3","6","0.9","0.4","1.3","1.6","15.3","10.2","16.2","6.7","108.4","109.7"
"205","Hamidou Diallo","Det","G","24.6","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","106.8"
"206","Donte DiVincenzo","Gol","G","26.1","58","26.4","14.8","16.2","51","0.843","129","0.473","306","0.408","0.571","0.59","9.3","4.5","3.4","1.3","0.2","1.4","13.8","12.7","17.2","7.9","116.7","110"
"207","Gabe Vincent","Mia","G","26.7","55","26.4","17.6","15","69","0.884","174","0.506","291","0.316","0.486","0.518","9.3","2.2","2.5","0.9","0.1","1.5","11.5","11.8","14","5.6","100.9","106.5"
"208","Tari Eason","Hou","F","21.8","67","20.4","19.7","13.2","119","0.748","388","0.485","133","0.376","0.505","0.536","9.2","5.8","1","1.1","0.6","1.2","14.9","10.2","16","7.4","110.9","107.5"
"209","Jonathan Kuminga","Gol","F","20.4","54","20.2","19.8","17.4","102","0.667","272","0.57","116","0.345","0.554","0.575","9.2","3.3","1.8","0.6","0.4","1.5","12.5","11","14.3","7.5","106.9","106.7"
"210","Onyeka Okongwu","Atl","F-C","22.3","66","23.5","14.4","14","145","0.738","392","0.633","7","0.286","0.629","0.658","9.2","7.1","1","0.7","1.2","1","16.4","10.3","17.4","6.9","131.8","102.9"
"211","Jalen Smith","Ind","F-C","23","56","18.4","21.3","13.1","110","0.773","248","0.593","162","0.284","0.527","0.564","9.2","5.7","0.9","0.3","0.9","1.1","14.9","10.1","15.8","7.9","111.9","107"
"212","Malaki Branham","San","F","19.8","52","22.3","18.1","12.1","50","0.8","243","0.543","184","0.304","0.506","0.526","9.1","2.4","2","0.5","0.1","1.1","11.5","11.1","13.5","6.3","103.7","116.9"
"213","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.6","113.4"
"214","Jae'Sean Tate","Hou","F","27.4","27","21.8","18.8","16.5","59","0.729","162","0.512","40","0.3","0.5","0.537","9.1","3.9","2.6","0.6","0.2","1.5","13","11.6","15.5","8.3","110.1","106.3"
"215","Jose Alvarado","Nor","G","24.9","61","21.5","19.7","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.4","106.3"
"216","Ayo Dosunmu","Chi","G","23.2","65","27.1","14.9","15.2","74","0.811","322","0.587","157","0.318","0.551","0.575","9","3","2.6","0.7","0.3","1.3","12","11.7","14.7","6.1","111","108.1"
"217","Josh Green","Dal","G","22.3","48","25.1","14.6","15.1","84","0.714","159","0.635","138","0.413","0.628","0.648","9","2.9","1.6","0.8","0.1","1.1","11.9","10.6","13.5","5.5","121.9","109"
"218","Talen Horton-Tucker","Uta","G","22.3","54","18.3","23.8","17.6","107","0.766","274","0.504","151","0.285","0.476","0.516","9","2.8","3.2","0.6","0.5","1.7","11.8","12.3","15.1","9.4","104.4","110.4"
"219","Isaiah Joe","Okc","G","23.7","60","17.8","17.3","7","66","0.818","74","0.554","311","0.434","0.632","0.653","9","2.3","1.2","0.6","0.1","0.5","11.3","10.2","12.5","6.6","128.8","110.3"
"220","Terance Mann","Lac","G-F","26.4","68","23.4","15.3","12.8","94","0.777","283","0.608","165","0.388","0.598","0.622","9","3.6","2.3","0.5","0.3","1","12.5","11.2","14.8","7.2","123.7","109.8"
"221","Royce O'Neale","Bro","F","29.8","64","32.6","13.4","15.9","57","0.737","155","0.368","352","0.395","0.524","0.538","9","5","3.7","0.9","0.7","1.5","14","12.7","17.7","6.8","108.2","108.5"
"222","Mason Plumlee","Lac","F-C","33","10","21.5","15.1","30.2","41","0.78","39","0.744","0","0","0.744","0.789","9","8.6","1.9","0.5","0.6","1.7","17.6","10.9","19.5","9.8","136","99.5"
"223","Dario Saric","Okc","F","28.9","12","14.8","21.6","17","22","0.864","35","0.714","33","0.394","0.654","0.695","9","3.9","1","0.3","0","1.2","12.9","10","13.9","8.8","123.4","103.1"
"224","Kyle Anderson","Min","F-G","29.5","55","26.8","14.1","17.8","117","0.752","281","0.534","78","0.436","0.56","0.597","8.9","5","4.3","1.1","0.9","1.4","13.9","13.2","18.2","8.6","120.7","108.7"
"225","Dennis Smith Jr.","Cha","G","25.3","48","25.4","17.5","15","96","0.74","302","0.483","95","0.221","0.447","0.485","8.9","2.9","4.6","1.4","0.5","1.5","11.8","13.5","16.4","7.7","104.2","109.4"
"226","AJ Griffin","Atl","F","19.5","60","19.7","17.7","7.1","34","0.882","227","0.551","218","0.381","0.561","0.575","8.8","2","1","0.7","0.1","0.6","10.9","9.8","11.9","5.3","114.4","114.3"
"227","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.1","107.9"
"228","Deni Avdija","Was","F","22.2","66","25.9","16.2","16.5","141","0.766","285","0.519","194","0.289","0.484","0.529","8.7","6.2","2.5","0.8","0.4","1.4","14.9","11.2","17.4","7.9","106.6","104.5"
"229","Taurean Prince","Min","F","29","42","21.4","16.9","15.9","51","0.843","137","0.577","143","0.385","0.577","0.605","8.7","2.4","1.6","0.5","0.4","1.3","11.1","10.3","12.7","6","109.5","108.5"
"230","Coby White","Chi","G","23.1","59","22.3","17.3","10","60","0.85","174","0.511","267","0.352","0.522","0.547","8.7","2.6","2.2","0.7","0.1","0.8","11.3","10.9","13.5","6.6","109.5","109.1"
"231","Steven Adams","Mem","C","29.6","42","27","14.5","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","117.5","102.2"
"232","Keita Bates-Diop","San","F","27.1","53","21.2","15.9","10.6","103","0.786","253","0.549","93","0.344","0.54","0.581","8.6","3.5","1.4","0.7","0.3","0.8","12.1","9.9","13.4","6.6","118","118.6"
"233","Jalen Duren","Det","C","19.3","54","24.9","13.4","17.9","123","0.626","305","0.639","1","0","0.637","0.648","8.6","8.8","1.1","0.6","0.9","1.2","17.4","9.7","18.5","7","127.5","108"
"234","Daniel Gafford","Was","F-C","24.4","66","19.8","14.9","17.7","156","0.647","311","0.749","0","0","0.749","0.747","8.6","5.4","1","0.4","1.2","1","14","9.5","15","7.3","137.8","105.6"
"235","Gary Harris","Orl","G","28.5","37","24.9","13","9","28","0.893","77","0.519","165","0.43","0.605","0.625","8.6","2.2","1.2","1","0.2","0.6","10.8","9.8","12","4.5","122.3","110.3"
"236","Walker Kessler","Uta","C","21.6","64","22.3","12.9","13.7","129","0.543","331","0.722","2","0.5","0.722","0.707","8.6","8.3","0.8","0.4","2.3","0.8","16.9","9.4","17.7","6.9","139.5","106.3"
"237","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","111.8","101.9"
"238","Shake Milton","Phi","G-F","26.5","63","20.2","18.6","15.4","95","0.832","290","0.534","123","0.39","0.55","0.586","8.5","2.5","2.8","0.3","0.1","1.2","11","11.2","13.7","7.7","115.1","110.2"
"239","Cedi Osman","Cle","F","27.9","65","20.3","18.1","9.1","90","0.667","193","0.58","257","0.35","0.549","0.566","8.5","2.2","1.5","0.5","0.1","0.7","10.8","10","12.2","6","112.8","106.9"
"240","Draymond Green","Gol","F","33","60","31.5","13","29","95","0.705","276","0.601","108","0.324","0.569","0.592","8.4","7.4","6.9","1","0.8","2.6","15.8","15.3","22.6","9.6","115.2","106.2"
"241","Damion Lee","Pho","G-F","30.4","67","21","16.1","14.6","102","0.902","184","0.446","232","0.444","0.569","0.613","8.4","3.1","1.4","0.4","0.1","1.1","11.5","9.9","13","6.3","115.9","109.8"
"242","Georges Niang","Phi","F","29.7","64","19.3","17.2","9.3","35","0.857","96","0.573","323","0.412","0.607","0.62","8.4","2.4","1.1","0.4","0.2","0.7","10.8","9.5","11.9","5.8","116.1","107.3"
"243","Cam Reddish","Nyk","F-G","23.5","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113","111.2"
"244","Robert Williams III","Bos","C-F","25.4","28","24.2","11.8","14.8","32","0.625","143","0.755","1","0","0.75","0.746","8.4","8.6","1.5","0.5","1.2","0.9","17","10","18.6","7.9","149.1","105.1"
"245","Grant Williams","Bos","F","24.3","65","27","12.9","15.3","107","0.804","158","0.532","240","0.404","0.577","0.612","8.4","4.7","1.8","0.6","0.4","1.1","13.1","10.1","14.9","6.1","119","105.5"
"246","Jarred Vanderbilt","Uta","F","23.9","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.8","104.9"
"247","Eugene Omoruyi","Det","F","26.1","5","18.2","18.1","11.6","11","0.909","22","0.5","8","0.375","0.517","0.588","8.2","2.6","0.4","0.4","0.2","0.8","10.8","8.6","11.2","4.5","118.8","110.2"
"248","Mark Williams","Cha","C","21.2","37","17.7","16.6","13.7","78","0.692","195","0.641","0","0","0.641","0.663","8.2","6.4","0.4","0.7","1.1","0.8","14.6","8.6","15","6.2","126.8","102.2"
"249","Andrew Nembhard","Ind","G-F","23.2","61","26.8","14.9","17.1","42","0.833","249","0.494","215","0.335","0.498","0.515","8.1","2.7","4","1","0.2","1.6","10.8","12.1","14.8","6.6","104.8","112.9"
"250","Jevon Carter","Mil","G","27.5","67","22.5","15.3","13.2","36","0.806","195","0.446","266","0.421","0.553","0.565","8","2.6","2.5","0.9","0.4","1","10.7","10.5","13.1","6.6","113.3","104.8"
"251","Pat Connaughton","Mil","G","30.2","49","24.6","14","7.2","35","0.657","82","0.524","276","0.341","0.514","0.524","8","4.9","1.3","0.7","0.1","0.6","12.9","9.3","14.2","6","110.9","108.7"
"252","Chris Duarte","Ind","G","25.7","44","19.7","19.1","11","70","0.843","154","0.429","169","0.314","0.45","0.495","8","2.6","1.4","0.5","0.2","0.9","10.5","9.4","12","6.2","100.3","114.2"
"253","Trey Lyles","Sac","F","27.4","60","16.6","18.4","13.7","108","0.806","139","0.64","188","0.378","0.598","0.638","8","3.9","0.9","0.4","0.5","0.9","11.9","8.9","12.8","7.3","121.7","110.2"
"254","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.5","113.4"
"255","Kemba Walker","Dal","G","32.8","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.4","112.9"
"256","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.4","107.6"
"257","Joe Harris","Bro","G-F","31.5","61","22","14.2","8.8","24","0.625","103","0.544","278","0.428","0.615","0.618","7.9","2.3","1.4","0.5","0.2","0.6","10.2","9.4","11.7","5.3","117.8","109.8"
"258","Tre Mann","Okc","G","22.1","58","18.2","20.8","10.7","50","0.74","214","0.467","235","0.315","0.47","0.487","7.9","2.3","1.7","0.6","0.2","0.9","10.2","9.7","12","6.9","99.9","109.9"
"259","Nick Richards","Cha","C","25.3","55","18.1","15.8","15.5","149","0.752","262","0.618","0","0","0.618","0.666","7.9","5.9","0.6","0.2","1.1","0.9","13.8","8.5","14.4","6.7","130.4","105"
"260","Shaedon Sharpe","Por","G","19.8","67","20.5","16.7","10.6","60","0.667","253","0.569","192","0.349","0.549","0.561","7.9","2.6","0.7","0.4","0.3","0.8","10.4","8.6","11.2","4.7","108.9","114.2"
"261","Jarred Vanderbilt","Lal","F","23.9","12","24.7","13.2","19","20","0.85","53","0.623","15","0.267","0.574","0.618","7.9","7.6","2","1.6","0.3","1.3","15.5","9.9","17.5","8","121.2","103.7"
"262","Duane Washington Jr.","Pho","G","23","31","12.7","32.6","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.6","113.3"
"263","Jeff Green","Den","F","36.5","44","19.3","17.3","12.9","86","0.721","188","0.59","75","0.267","0.536","0.572","7.8","2.6","1.1","0.4","0.3","0.9","10.4","9","11.5","5.8","111.6","109.4"
"264","Luke Kennard","Lac","G","26.7","35","20.7","15.1","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","113.9","111.5"
"265","T.J. McConnell","Ind","G","31","64","19.7","18.2","21.4","54","0.852","365","0.537","47","0.447","0.552","0.575","7.8","3","5","1.1","0.1","1.8","10.8","12.8","15.8","9.9","115","113.2"
"266","Nickeil Alexander-Walker","Min","G","24.5","9","17","19.3","7.7","9","0.556","27","0.407","33","0.424","0.533","0.539","7.7","2.3","1.6","0.3","0.4","0.6","10","9.2","11.6","7.2","110.8","110.7"
"267","Will Barton","Was","G","32.2","40","19.6","19.4","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","101.8","113.8"
"268","Larry Nance Jr.","Nor","F-C","30.2","51","22","12.7","12.3","71","0.676","226","0.664","38","0.342","0.642","0.655","7.6","5.8","1.9","0.9","0.7","0.7","13.4","9.5","15.3","8","133.8","104.2"
"269","Mitchell Robinson","Nyk","C-F","24.9","48","27.4","9.9","11.1","96","0.49","232","0.69","0","0","0.69","0.669","7.6","9.2","0.8","0.9","1.6","0.6","16.8","8.5","17.6","5.6","145","103.9"
"270","Willy Hernangomez","Nor","C-F","28.8","33","13.4","23.5","19.3","103","0.786","149","0.544","10","0.2","0.528","0.609","7.5","5.2","1","0.4","0.4","1.2","12.7","8.5","13.7","10.1","118.9","98.3"
"271","Edmond Sumner","Bro","G","27.2","47","14.5","22.2","14.8","99","0.929","170","0.506","83","0.349","0.512","0.592","7.5","1.6","1.4","0.7","0.2","0.9","9","8.9","10.5","7.1","112.8","106.9"
"272","Matisse Thybulle","Por","G-F","26","12","29","10.4","9.7","2","0.5","24","0.542","50","0.42","0.601","0.601","7.5","3.7","1.6","1.8","1","0.7","11.2","9.1","12.8","4.9","123.8","110.8"
"273","Torrey Craig","Pho","F","32.2","64","25.3","13","13.5","41","0.707","203","0.502","207","0.391","0.545","0.556","7.4","5.6","1.5","0.7","0.6","1","13.1","9","14.6","6.3","115","106.8"
"274","Jeremiah Robinson-Earl","Okc","F","22.4","34","20.2","14.8","7.5","38","0.816","114","0.561","95","0.326","0.529","0.558","7.4","4.5","1","0.6","0.3","0.5","11.9","8.4","12.9","6.4","122.6","109.1"
"275","Mo Bamba","Orl","C","24.8","40","17","16.3","9.3","51","0.686","106","0.594","108","0.398","0.596","0.613","7.3","4.6","1.1","0.3","1","0.6","11.9","8.3","12.9","7.8","125.5","103"
"276","Sandro Mamukelashvili","San","F-C","23.8","4","15.5","19.3","15.8","9","0.667","10","0.4","11","0.455","0.548","0.581","7.3","4.3","0.5","0.3","0.3","1","11.5","7.8","12","6.5","110.1","101.9"
"277","Troy Brown Jr.","Lal","G-F","23.6","62","24.7","12.3","9.8","35","0.914","159","0.522","228","0.364","0.536","0.555","7.2","4.2","1.2","0.8","0.2","0.7","11.4","8.4","12.6","5.4","112.3","110.2"
"278","Luke Kennard","Mem","G","26.7","10","21.4","11.7","8.7","8","1","11","0.182","41","0.488","0.615","0.648","7.2","2.3","1.9","0.3","0","0.5","9.5","9.1","11.4","5.9","132.3","109.7"
"279","Reggie Bullock","Dal","G-F","32","65","30.3","10.1","7.6","35","0.686","62","0.532","329","0.374","0.556","0.565","7.1","3.5","1.4","0.8","0.2","0.5","10.5","8.4","11.9","4.3","114.7","112.2"
"280","Dorian Finney-Smith","Bro","F","29.9","14","29.2","13.3","11.8","10","0.7","35","0.457","69","0.29","0.442","0.457","7.1","5","1.6","0.9","0.5","1","12.1","8.7","13.7","5.3","99.8","109.8"
"281","Romeo Langford","San","G-F","23.4","34","20.1","15.2","9.8","39","0.641","162","0.549","49","0.265","0.514","0.53","7.1","2.8","1.3","0.5","0.4","0.7","9.9","8.4","11.2","5.9","112","116.6"
"282","Kevin Love","Mia","F-C","34.5","9","21.5","16.7","14.8","14","0.929","18","0.667","39","0.231","0.447","0.507","7.1","7","1.8","0.6","0.3","1.1","14.1","8.9","15.9","8.3","106","103.6"
"283","Delon Wright","Was","G","30.9","39","24.3","12.4","14.8","42","0.905","123","0.561","90","0.367","0.556","0.594","7.1","3.3","4","2.1","0.3","0.9","10.4","11","14.3","7.5","128.8","110.6"
"284","Jaden Hardy","Dal","G","20.7","34","12.5","25.7","13.3","53","0.83","104","0.5","85","0.353","0.513","0.56","7","1.3","0.9","0.3","0.1","0.9","8.3","7.9","9.2","6.5","104","109.6"
"285","Bones Hyland","Lac","G","22.5","5","14.2","27.3","7.4","10","0.8","19","0.316","18","0.278","0.365","0.423","7","3.6","1.6","0.6","0","0.6","10.6","8.6","12.2","9.7","99.7","91.2"
"286","Joe Ingles","Mil","F-G","35.4","34","22.9","12.9","17.6","17","0.824","41","0.561","150","0.393","0.584","0.597","7","3.1","3.1","0.7","0.1","1.2","10.1","10.1","13.2","7.1","117","106.4"
"287","Ty Jerome","Gol","G-F","25.7","44","18.5","14.9","11","41","0.927","152","0.546","90","0.389","0.56","0.594","7","1.8","3.1","0.5","0.1","0.7","8.8","10.1","11.9","7.3","125.4","111.7"
"288","Anthony Lamb","Gol","F","25.1","50","20.1","13.9","15","45","0.733","91","0.659","174","0.379","0.6","0.616","7","3.4","1.7","0.5","0.3","0.9","10.4","8.8","12.2","6.8","118.6","106.7"
"289","Kevon Looney","Gol","F","27.1","68","23.4","10.5","10.7","120","0.6","308","0.653","1","0","0.65","0.655","7","9","2.4","0.6","0.6","0.5","16","9.4","18.4","9.1","149.3","102.3"
"290","Josh Okogie","Pho","G","24.5","57","16.8","18.8","14.4","132","0.727","165","0.473","145","0.338","0.489","0.542","7","3.3","1.2","0.8","0.4","0.9","10.3","8.2","11.5","7.2","113.2","107.6"
"291","Joshua Primo","San","G","20.2","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.3","115.9"
"292","Daniel Theis","Ind","F-C","30.9","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","107.9","114.9"
"293","Ben Simmons","Bro","G-F","26.6","42","26.3","14.4","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.3","101.6"
"294","James Wiseman","Gol","C","22","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.1","101.4"
"295","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.6","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.8","109.1"
"296","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.5","106.5"
"297","Luka Garza","Min","C","24.2","24","8.9","27.1","9.6","50","0.8","67","0.627","36","0.361","0.597","0.652","6.8","2.4","0.6","0.1","0.1","0.5","9.2","7.4","9.8","9.6","132.6","101.6"
"298","Dwight Powell","Dal","F-C","31.6","63","19.9","12.5","20.3","149","0.685","221","0.733","3","0","0.723","0.736","6.8","4.3","0.9","0.7","0.4","0.9","11.1","7.6","11.9","6","141.3","103.3"
"299","Justise Winslow","Por","F-G","27","29","26.8","14.3","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","105","108.1"
"300","Terence Davis","Sac","G","25.8","52","13.2","21.6","13.3","35","0.886","100","0.56","187","0.369","0.556","0.579","6.7","2.3","1.1","0.7","0.2","0.8","9","7.9","10.1","7.8","108.8","103.5"
"301","Isaiah Jackson","Ind","F","21.2","50","15.4","17.5","14.4","112","0.652","220","0.586","12","0.167","0.569","0.599","6.7","4.1","0.9","0.4","1.5","0.8","10.8","7.6","11.7","7.6","120.5","104.8"
"302","Kendrick Nunn","Lal","G","27.6","39","13.5","23.3","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.1","111.5"
"303","Duncan Robinson","Mia","F","28.9","33","17.3","17.5","9.7","25","0.92","36","0.528","158","0.335","0.508","0.537","6.7","1.8","1.2","0.4","0","0.6","8.5","7.8","9.7","5.6","107","105.1"
"304","Aaron Wiggins","Okc","G-F","24.2","56","18.9","14.4","13.2","55","0.8","195","0.559","100","0.38","0.563","0.589","6.7","3.1","1.3","0.5","0.2","0.8","9.8","8","11.1","6.3","117.6","110"
"305","JaMychal Green","Gol","F-C","32.7","48","14.3","18.1","18.1","57","0.737","120","0.65","102","0.382","0.615","0.637","6.6","3.7","0.9","0.4","0.4","1","10.3","7.5","11.2","7.8","116.8","103"
"306","Isaac Okoro","Cle","F-G","22.1","70","21.5","12.3","10.5","99","0.758","171","0.632","160","0.35","0.58","0.613","6.6","2.5","1.2","0.7","0.4","0.6","9","7.7","10.2","5","123.5","104.6"
"307","Julian Champagnie","San","F","21.7","2","11.8","15.9","0","0","0","2","1","7","0.429","0.722","0.722","6.5","2.5","0.5","0","0","0","9","7","9.5","6.8","146.9","119.8"
"308","Goran Dragic","Chi","G","36.9","50","15.6","20.9","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104","110.5"
"309","Patrick Beverley","Lal","G","34.7","45","26.9","10.6","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.1","107"
"310","Jock Landale","Pho","C","27.4","58","14.1","19.1","15.2","97","0.773","194","0.619","79","0.241","0.544","0.589","6.4","4.1","0.9","0.2","0.5","0.8","10.5","7.3","11.4","8.1","119.4","102.7"
"311","Nassir Little","Por","F-G","23.1","47","17.5","14.9","9.9","37","0.676","107","0.551","130","0.4","0.578","0.59","6.4","2.7","1","0.3","0.4","0.6","9","7.4","10","5.9","116.6","114.4"
"312","Isaiah Livers","Det","F","24.6","45","22.4","11.8","9.7","30","0.767","66","0.561","175","0.36","0.546","0.563","6.4","2.5","0.8","0.6","0.6","0.6","8.8","7.1","9.6","4.2","110.9","114"
"313","Kendrick Nunn","Was","G","27.6","19","14.4","20.8","16.6","10","0.9","56","0.518","49","0.367","0.533","0.553","6.4","1.7","1.8","0.5","0","1.1","8.1","8.2","9.8","7.5","104.7","113.3"
"314","David Roddy","Mem","F","22","54","16.7","17.1","13.4","53","0.604","151","0.583","153","0.294","0.512","0.524","6.4","2.6","0.6","0.5","0.3","0.9","8.9","7","9.6","5.2","100.5","106.1"
"315","Nickeil Alexander-Walker","Uta","G","24.5","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.5","108.2"
"316","R.J. Hampton","Det","G","22.1","8","15.9","17.7","17.3","16","0.688","19","0.474","19","0.368","0.513","0.555","6.3","1.9","1","0.9","0.1","1","8.1","7.3","9.1","5.8","104.1","114.5"
"317","Reggie Jackson","Den","G","32.9","9","20.1","19.3","11.6","8","0.75","31","0.29","37","0.297","0.375","0.398","6.3","1.4","3.2","0.6","0.1","1","7.8","9.6","11","6.1","93.1","113"
"318","Maxi Kleber","Dal","F","31.1","26","25.4","10","9.5","22","0.591","45","0.711","78","0.372","0.614","0.618","6.3","3.8","1.2","0.3","0.9","0.5","10.1","7.5","11.3","4.8","125","110.7"
