,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
558,559,Nerlens Noel,Bro,C-F,28.9,3,14.4,12.2,44.6,2
559,560,JD Davison,Bos,G,20.4,7,2.6,29.2,8.3,0
560,561,Justin Jackson,Bos,F,28.0,23,4.7,12.2,6.8,2
561,562,Vince Williams Jr.,Mem,G,22.5,11,4.7,11.9,6.7,0
562,563,Alex Len,Sac,C,29.7,16,3.0,15.7,36.7,4
563,564,Dereon Seabron,Nor,G,22.8,5,2.3,18.4,0.0,0
564,565,Thanasis Antetokounmpo,Mil,F,30.7,28,4.0,12.6,26.5,8
565,566,PJ Dozier,Sac,G-F,26.4,8,1.8,18.1,0.0,0
566,567,Vernon Carey Jr.,Was,F-C,22.0,11,2.6,16.6,19.2,2
567,568,Devon Dotson,Was,G,23.6,6,8.9,9.9,25.0,0
568,569,Udonis Haslem,Mia,F,42.8,6,7.6,12.5,0.0,2
569,570,Isaiah Todd,Was,F,21.4,4,3.2,13.8,0.0,0
570,571,Leandro Bolmaro,Uta,F,22.5,14,4.9,15.9,26.9,0
571,572,Ryan Arcidiacono,Nyk,G,29.0,11,2.4,9.8,16.7,0
572,573,John Butler Jr.,Por,F,20.3,9,3.4,7.2,0.0,0
573,574,Sterling Brown,Lal,G-F,28.1,4,6.1,6.9,0.0,0
574,575,Deonte Burton,Sac,G-F,29.1,2,3.3,13.2,0.0,0
575,576,Julian Champagnie,Phi,F,21.7,2,3.4,13.3,0.0,0
576,577,Michael Foster Jr.,Phi,F,20.2,1,1.0,0.0,,0
577,578,Frank Jackson,Uta,G,24.9,1,5.1,24.6,0.0,0
578,579,Marko Simonovic,Chi,C,23.4,3,1.5,9.6,0.0,0
579,580,Alondes Williams,Bro,G,23.7,1,5.3,16.8,100.0,0
580,581,Lindell Wigginton,Mil,G,25.0,1,0.7,0.0,,0
581,582,Omer Yurtseven,Mia,C,24.7,1,7.2,6.1,0.0,0
582,583,Jamaree Bouyea,Was,G,23.7,1,5.5,7.9,0.0,0
